Day,2013,2014,2015,2016,2017,2018
0,1046.1,1046.8,1045,1050.35,1048,1043.68
1,1046.4,1046.8,1044.4,1050.11,1047.98,1043.51
2,1046.2,1046.1,1043.8,1049.72,1047.91,1043.33
3,1046,1045.7,1043.8,1049.27,1047.67,1043.16
4,1045.9,1045.6,1044,1048.89,1047.33,1042.74
5,1045.9,1044.8,1043.8,1048.59,1047.12,1042.5
6,1045.8,1043.8,1043.9,1048.18,1046.75,1042.19
7,1045.4,1043.2,1043.5,1047.71,1046.36,1042.18
8,1045,1042.8,1043.9,1047.19,1045.94,1042.14
9,1044.6,1042.3,1043.6,1046.74,1045.7,1042.11
10,1044.3,1042.1,null,1046.27,1045.57,1042.09
11,1043.9,1042.6,1044,1045.64,1045.48,1042.19
12,1044,1043.5,1043.8,1045.09,1045.37,1042.63
13,1044.3,1044.4,1043.8,1044.6,1045.28,1043
14,1045.6,1045.2,1043.9,1044.24,1045.2,1043.29
15,null,1045,1043.9,1044.18,1045.1,1043.15
16,1053.5,1045.4,1043.7,1044.11,1045.16,1043.17
17,1056.6,1045.5,1043.8,1044.13,1045.26,1043.12
18,1057.6,null,1043.6,1044.05,1045.19,1043.23
19,1057.9,1045.8,null,1044.14,1045.15,1043.35
20,1057.9,1045.6,1043.7,1044.27,1045.47,1043.46
21,null,1045.1,1043.8,1044.75,1046.01,1043.5
22,null,1044.8,1044,1045.17,1046.99,1043.47
23,1057.3,1044.1,1044.2,1045.44,1047.3,1043.25
24,null,1044.1,1044.6,1044.9,1047.42,1043.12
25,1057,null,1045,1044.65,1047.51,1043.19
26,1057,1044,null,1044.23,1047.63,1043.33
27,1056.8,1043.6,1044.7,1044.4,1047.6,1043.51
28,1056.7,1042.7,1044.5,1044.78,1047.41,1043.54
29,1056.6,1042.5,1044.3,1045.09,1047.17,1043.29
30,1058.3,null,1044.1,1045.32,1046.85,1043.21
31,1059.8,1042.3,1044.1,1045.43,1046.57,1043.26
32,1060.4,1042.5,1044.3,1045.82,1046.24,1043.37
33,1060.3,1042.9,1044.1,1047.35,1045.9,1043.67
34,1060.2,1043.7,1044.1,1049.04,1045.75,1043.96
